nombre_de_servicio_turistico,identificador_de_clasificacion,clasificacion,identificador_de_categoria,categoria,identificador_de_subcategoria,subcategoria,direccion,correo_electronico,sitio_web,telefono,codigo_de_departamento,codigo_de_provincia,codigo_de_distrito,nombre_de_departamento,nombre_de_provincia,nombre_de_distrito,ruc,siglas,nombre_de_empresa,fecha_de_registro_de_empresa,fecha_actualizacion_datos_de_empresa
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Del Ejercito No 285,nan,www.civa.com.pe,044 251402,13,01,01,La Libertad,Trujillo,Trujillo,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Terminal Terrestre - Counter B-2,cuzco@turismociva.com,www.civa.com.pe,984108152,08,01,06,Cusco,Cusco,Santiago,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Terminal Terrestre - Counter B-2,cuzco@turismociva.com,www.civa.com.pe,984108152,08,01,06,Cusco,Cusco,Santiago,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Terminal Terrestre Of. No B-14,turismociva@civa.com.pe,www.civa.com.pe,958973052,04,01,07,Arequipa,Arequipa,Jacobo Hunter,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Terminal Terrestre Of. No B-14,turismociva@civa.com.pe,www.civa.com.pe,958973052,04,01,07,Arequipa,Arequipa,Jacobo Hunter,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Francisco Bolognesi 714,contactcenter@civa.com.pe,www.civa.com.pe,01 418 1111,14,01,01,Lambayeque,Chiclayo,Chiclayo,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Av. Francisco Bolognesi 714,contactcenter@civa.com.pe,www.civa.com.pe,01 418 1111,14,01,01,Lambayeque,Chiclayo,Chiclayo,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Av. Loreto No 1400,turismociva@civa.com.pe,www.civa.com.pe,073 331944,20,01,01,Piura,Piura,Piura,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Loreto No 1400,turismociva@civa.com.pe,www.civa.com.pe,989141658,20,01,01,Piura,Piura,Piura,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Tumbes Norte 518,tumbes@turismociva.com,www.civa.com.pe,072  525120,24,01,01,Tumbes,Tumbes,Tumbes,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Av. Tumbes Norte 518,tumbes@turismociva.com,www.civa.com.pe,972719246,24,01,01,Tumbes,Tumbes,Tumbes,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Jr. Union 320,chachapoyas@turismociva.com,www.civa.com.pe,041 478048,01,01,01,Amazonas,Chachapoyas,Chachapoyas,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Jr. Union 320,chachapoyas@turismociva.com,www.civa.com.pe,041 478048,01,01,01,Amazonas,Chachapoyas,Chachapoyas,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Terminal Terrestre,turismociva@civa.com.pe,www.civa.com.pe,042  562436,22,09,01,San Martin,San Martin,Tarapoto,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Terminal Terrestre,turismociva@civa.com.pe,www.civa.com.pe,042  562436,22,09,01,San Martin,San Martin,Tarapoto,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,"Terminal Terrestre - Counter Ndeg C35 - 36 , Jr. 01 De Mayo Ndeg 703, Barrio Cesar Vallejo.",turismociva@civa.com.pe,www.civa.com.pe,940480985,21,01,01,Puno,Puno,Puno,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,"Terminal Terrestre - Counter Ndeg C35 - 36 , Jr. 01 De Mayo Ndeg 703, Barrio Cesar Vallejo.",turismociva@civa.com.pe,www.civa.com.pe,940480985,21,01,01,Puno,Puno,Puno,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Terminal Terrestre Interseccion De Las Avenidas Juan Pablo Castro Y Pachacutec,nan,www.civa.com.pe,983727933,03,01,01,Apurimac,Abancay,Abancay,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Terminal Terrestre Interseccion De Las Avenidas Juan Pablo Castro Y Pachacutec,nan,www.civa.com.pe,983727933,03,01,01,Apurimac,Abancay,Abancay,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Cl. Lima 155,turismociva@civa.com.pe,www.civa.com.pe,01 4181111,11,03,01,Ica,Nasca,Nasca,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Cl. Lima 155,turismociva@civa.com.pe,www.civa.com.pe,01 4181111,11,03,01,Ica,Nasca,Nasca,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,"Av. Ejercito, Cdras. 2 Y 3 - Terminal Terrestre De Moquegua",turismociva@civa.com.pe,www.civa.com.pe,953720932,18,01,01,Moquegua,Mariscal Nieto,Moquegua,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,"Av. Ejercito, Cdras. 2 Y 3 - Terminal Terrestre De Moquegua",turismociva@civa.com.pe,www.civa.com.pe,989319636,18,01,01,Moquegua,Mariscal Nieto,Moquegua,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Terminal Terrestre Odria Cabina 8,turismociva@civa.com.pe,www.civa.com.pe,052  741543,23,01,01,Tacna,Tacna,Tacna,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Terminal Terrestre Odria Cabina 8,turismociva@civa.com.pe,www.civa.com.pe,052  741543,23,01,01,Tacna,Tacna,Tacna,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Javier Prado Este 1155,,www.civa.com.pe,01 4181111,15,01,15,Lima,Lima,La Victoria,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Av. Javier Prado Este 1155,nan,www.civa.com.pe,01 4181111,15,01,15,Lima,Lima,La Victoria,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Jr. Matara 315 - A Terminal Terretres Ilo Counter 13 - 14,nan,www.civa.com.pe,953720931,18,03,01,Moquegua,Ilo,Ilo,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Jr. Matara 315 - A Terminal Terretres Ilo Counter 13 - 14,nan,www.civa.com.pe,976350525,18,03,01,Moquegua,Ilo,Ilo,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Cl. Gerardo Unger 6917 (Terminal Plaza Norte),nan,www.civa.com.pe,01 4181111,15,01,12,Lima,Lima,Independencia,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Cl. Gerardo Unger 6917 (Terminal Plaza Norte),nan,www.civa.com.pe,01 4181111,15,01,12,Lima,Lima,Independencia,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Jr. Simon Bolivar 491,nan,www.civa.com.pe,989206504,02,01,01,Ancash,Huaraz,Huaraz,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Jr. Simon Bolivar 491,nan,www.civa.com.pe,989206504,02,01,01,Ancash,Huaraz,Huaraz,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. San Martin De Porres 957,nan,www.civa.com.pe,076  68186,06,01,01,Cajamarca,Cajamarca,Cajamarca,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Av. San Martin De Porres 957,nan,www.civa.com.pe,976311412,06,01,01,Cajamarca,Cajamarca,Cajamarca,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,"Manco Capac No 355, Ayacucho",nan,www.civa.com.pe,066 310283,05,01,01,Ayacucho,Huamanga,Ayacucho,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,"Manco Capac No 355, Ayacucho",nan,www.civa.com.pe,966367161,05,01,01,Ayacucho,Huamanga,Ayacucho,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Terminal Terrestre De Puerto Maldonado,nan,www.civa.com.pe,989599026,17,01,01,Madre De Dios,Tambopata,Tambopata,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Terminal Terrestre De Puerto Maldonado,nan,www.civa.com.pe,989599026,17,01,01,Madre De Dios,Tambopata,Tambopata,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Manuel Mesones Muro 800,,www.civa.com.pe,076 431443,06,08,01,Cajamarca,Jaen,Jaen,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Av. Manuel Mesones Muro 800,,www.civa.com.pe,076 431443,06,08,01,Cajamarca,Jaen,Jaen,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Av. Lambayeque 135,contactcenter@civa.com.pe,www.civa.com.pe,01 4181111,11,01,01,Ica,Ica,Ica,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Lambayeque 135,contactcenter@civa.com.pe,www.civa.com.pe,01 4181111,11,01,01,Ica,Ica,Ica,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Paseo De La Republica 595 (Terminal 28 De Julio),contactcenter@civa.com.pe,www.civa.com.pe,01 4181111,15,01,15,Lima,Lima,La Victoria,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Av. Paseo De La Republica 595 (Terminal 28 De Julio),contactcenter@civa.com.pe,www.civa.com.pe,01 4181111,15,01,15,Lima,Lima,La Victoria,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Av. Panamericana Sur Km. 11.30  (Terminal Atocongo),,www.civa.com.pe,01 4181111,15,01,33,Lima,Lima,San Juan De Miraflores,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Panamericana Sur Km. 11.30  (Terminal Atocongo),,www.civa.com.pe,01 4181111,15,01,33,Lima,Lima,San Juan De Miraflores,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Grau Ndeg 325,zorritos@civa.com.pe,www.civa.com.pe,989025028,24,02,01,Tumbes,Contralmirante Villar,Zorritos,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Turismo Civa,2203,Transporte,220301,Terrestre,22030105,Transporte Terrestre Internacional,Av. Grau Ndeg 325,zorritos@civa.com.pe,www.civa.com.pe,989025028,24,02,01,Tumbes,Contralmirante Villar,Zorritos,20102427891,Turismo Civa,Turismo Civa S.A.C.,2000-09-22,2025-01-04
Essalud Hospital Nivel Ii Huanuco,2208,Salud,220801,Hospitales,220801,Hospitales,Jr. Jose Olaya  201-203,ivan.barrera@essalud.gob.pe,http://portal.essalud.gob.pe/,062 591000,10,01,01,Huanuco,Huanuco,Huanuco,20131257750,Essalud Hospital Nivel Ii Huanuco,Seguro Social De Salud,2001-05-18,2025-01-17
Sipan Tours,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Cl. 7 De Enero 772 (Presencial Y Digital),sipantours1@hotmail.com,www.sipantours.com,944401753,14,01,01,Lambayeque,Chiclayo,Chiclayo,20479390381,Sipan Tours,Consorcio Turistico Sipan Tours S.A.C.,2001-05-21,2025-01-17
Fomentours,2205,Agencias De Viajes Y Turismo,220502,Agencias Minoristas,220502,Agencias Minoristas,Jr. San Martin No 148,fomentours@hotmail.com,nan,042 522257,22,09,01,San Martin,San Martin,Tarapoto,20104162135,Fomentours,Agencia De Viajes Y Turismo Fomentours S.A,2001-05-24,2025-01-21
Fomentours,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Jr. San Martin No 148,fomentours@hotmail.com,nan,042 522257,22,09,01,San Martin,San Martin,Tarapoto,20104162135,Fomentours,Agencia De Viajes Y Turismo Fomentours S.A,2001-05-24,2025-01-21
Tierras De Los Andes,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,"Cl. Las Turquezas E-11, Urb. Kennedy A",ventascusco@terandes.com,https://terandes.com/,984550165,08,01,08,Cusco,Cusco,Wanchaq,20484974200,Tierras De Los Andes,Tierras De Los Andes S.A.C.,2001-11-28,2025-01-30
Linea S.A,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Paseo De La Republica 941,,www.linea.pe,948318723,15,01,15,Lima,Lima,La Victoria,20438933272,Linea S.A,Transporte Linea S.A,2001-12-12,2025-01-04
Linea S.A,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Esq San Martin Con Orbegoso,nan,www.linea.pe,0801 00015,13,01,01,La Libertad,Trujillo,Trujillo,20438933272,Linea S.A,Transporte Linea S.A,2001-12-12,2025-01-04
Linea S.A,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. America Sur No 2855 Terminal Sur,,www.linea.pe,044 297000,13,01,01,La Libertad,Trujillo,Trujillo,20438933272,Linea S.A,Transporte Linea S.A,2001-12-12,2025-01-04
Linea S.A,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Sanchez Cerro No 1215,,www.linea.pe,073 303894,20,01,01,Piura,Piura,Piura,20438933272,Linea S.A,Transporte Linea S.A,2001-12-12,2025-01-04
Linea S.A,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Francisco Bolognesi 638,cargachiclayo@linea.pe    contacto@embarcar.com.pe,www.linea.pe,80100015,14,01,16,Lambayeque,Chiclayo,Cayalti,20438933272,Linea S.A,Transporte Linea S.A,2001-12-12,2025-01-04
Linea S.A,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Atahualpa 318,,www.linea.pe,976867215,06,01,01,Cajamarca,Cajamarca,Cajamarca,20438933272,Linea S.A,Transporte Linea S.A,2001-12-12,2025-01-04
Linea S.A,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Jr. Simon Bolivar 450,,www.linea.pe,943670478,02,01,01,Ancash,Huaraz,Huaraz,20438933272,Linea S.A,Transporte Linea S.A,2001-12-12,2025-01-04
Linea S.A,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Gerardo Unger 6917,,www.linea.pe,80100015,15,01,12,Lima,Lima,Independencia,20438933272,Linea S.A,Transporte Linea S.A,2001-12-12,2025-01-04
Linea S.A,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Mesones Muro N 475,,www.linea.pe,80100015,06,08,01,Cajamarca,Jaen,Jaen,20438933272,Linea S.A,Transporte Linea S.A,2001-12-12,2025-01-04
Linea S.A,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,"Stand C20 Carretera Panamericana Norte, 558 Terrapuerto Trujillo",nan,www.linea.pe,044 297000,13,01,07,La Libertad,Trujillo,Moche,20438933272,Linea S.A,Transporte Linea S.A,2001-12-12,2025-01-04
Esmeralda,2201,Establecimientos De Hospedaje,220101,Hoteles,22010103,H.3 Estrellas,Av. Loreto No 235,reservas@hotelesmeralda.com.pe,www.hotelesmeralda.com.pe,073 331782,20,01,01,Piura,Piura,Piura,10026259008,Esmeralda,Calle De Farfan Olga Hortelia,2002-02-06,2025-01-03
Ittsa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Paseo De La Republica 809,atencionalcliente@ittsabus.com,www.ittsabus.com,01 4235232,15,01,15,Lima,Lima,La Victoria,20132272418,Ittsa,Internacional De Transporte Turistico Y Servicios S.R.Ltda,2002-07-16,2025-01-04
Ittsa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Avelino Caceres Mz.249 Lt. 02 Zona Industrial,piura@ittsabus.com,www.ittsabus.com,073 333982,20,01,01,Piura,Piura,Piura,20132272418,Ittsa,Internacional De Transporte Turistico Y Servicios S.R.Ltda,2002-07-16,2025-01-04
Ittsa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Juan Pablo Ii 1110,nan,www.ittsabus.com,044 284644,13,01,01,La Libertad,Trujillo,Trujillo,20132272418,Ittsa,Internacional De Transporte Turistico Y Servicios S.R.Ltda,2002-07-16,2025-01-04
Ittsa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Terminal El Chimbador (Modulo B34) Y Jr.  Francisco Bolognesi 749 (Solo Venta De Boleto),,www.ittsabus.com,044 284644,02,18,01,Ancash,Santa,Chimbote,20132272418,Ittsa,Internacional De Transporte Turistico Y Servicios S.R.Ltda,2002-07-16,2025-01-04
Ittsa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Grau 497,atencionweb@ittsabus.com,www.ittsabus.com,074 233612,14,01,01,Lambayeque,Chiclayo,Chiclayo,20132272418,Ittsa,Internacional De Transporte Turistico Y Servicios S.R.Ltda,2002-07-16,2025-01-04
Ittsa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Tumbes 1321,atencionweb@ittsabus.com,www.ittsabus.com,072 458010,24,01,01,Tumbes,Tumbes,Tumbes,20132272418,Ittsa,Internacional De Transporte Turistico Y Servicios S.R.Ltda,2002-07-16,2025-01-04
Ittsa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Tomas Valle Y Alfredo Mendiola - Plaza Norte.(Panamericana Norte),,www.ittsabus.com,,15,01,12,Lima,Lima,Independencia,20132272418,Ittsa,Internacional De Transporte Turistico Y Servicios S.R.Ltda,2002-07-16,2025-01-04
Ittsa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Car. Panamericana Norte 13 Km. 558 - Terminal Trujillo,nan,www.ittsabus.com,044 284644,13,01,07,La Libertad,Trujillo,Moche,20132272418,Ittsa,Internacional De Transporte Turistico Y Servicios S.R.Ltda,2002-07-16,2025-01-04
Ittsa,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Jiron Bolivar 527,nan,www.ittsabus.com,044 284644,13,01,01,La Libertad,Trujillo,Trujillo,20132272418,Ittsa,Internacional De Transporte Turistico Y Servicios S.R.Ltda,2002-07-16,2025-01-04
Real Agentes,2205,Agencias De Viajes Y Turismo,220502,Agencias Minoristas,220502,Agencias Minoristas,Cl. Elias Aguirre 830 Of. 201 (Presencial Y Digital),realagentes@gmail.com,,979694607,14,01,01,Lambayeque,Chiclayo,Chiclayo,20103342253,Real Agentes,Real Agentes S.A.,2002-09-03,2025-01-18
