NOMBRE DE SERVICIO TURÍSTICO;IDENTIFICADOR DE CLASIFICACIÓN;CLASIFICACIÓN;IDENTIFICADOR DE CATEGORÍA;CATEGORÍA;IDENTIFICADOR DE SUBCATEGORÍA;SUBCATEGORÍA;DIRECCIÓN;CORREO ELECTRÓNICO;SITIO WEB;TELÉFONO;CÓDIGO DE DEPARTAMENTO;CÓDIGO DE PROVINCIA;CÓDIGO DE DISTRITO;NOMBRE DE DEPARTAMENTO;NOMBRE DE PROVINCIA;NOMBRE DE DISTRITO;RUC;SIGLAS;NOMBRE DE EMPRESA;FECHA DE REGISTRO DE EMPRESA;FECHA ACTUALIZACIÓN DATOS DE EMPRESA
SAS Travel;2205;AGENCIAS DE VIAJES Y TURISMO;220502;Agencias Minoristas;220502;Agencias Minoristas;Cl. Garcilaso 270;info@sastravelperu.com    reservas@sastravelperu.com;www.sastravelperu.com;984652232;8;1;1;Cusco;Cusco;Cusco;20490098951;SAS Travel;Adventours SAS E.I.R.L.;15/06/2000;22/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Av. Del Ejército Nº 285;;www.civa.com.pe;044 251402;13;1;1;La Libertad;Trujillo;Trujillo;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Del Ejército Nº 285;;www.civa.com.pe;044 251402;13;1;1;La Libertad;Trujillo;Trujillo;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Terminal Terrestre - Counter B-2;cuzco@turismociva.com;www.civa.com.pe;984108152;8;1;6;Cusco;Cusco;Santiago;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Terminal Terrestre - Counter B-2;cuzco@turismociva.com;www.civa.com.pe;984108152;8;1;6;Cusco;Cusco;Santiago;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Terminal Terrestre Of. Nº B-14;turismociva@civa.com.pe;www.civa.com.pe;958973052;4;1;7;Arequipa;Arequipa;Jacobo Hunter;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Terminal Terrestre Of. Nº B-14;turismociva@civa.com.pe;www.civa.com.pe;958973052;4;1;7;Arequipa;Arequipa;Jacobo Hunter;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Francisco Bolognesi 714 ;contactcenter@civa.com.pe;www.civa.com.pe;01 418 1111;14;1;1;Lambayeque;Chiclayo;Chiclayo;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Av. Francisco Bolognesi 714 ;contactcenter@civa.com.pe;www.civa.com.pe;01 418 1111;14;1;1;Lambayeque;Chiclayo;Chiclayo;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional; Av. Loreto Nº 1400 ;turismociva@civa.com.pe;www.civa.com.pe;073 331944;20;1;1;Piura;Piura;Piura;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional; Av. Loreto Nº 1400 ;turismociva@civa.com.pe;www.civa.com.pe;989141658;20;1;1;Piura;Piura;Piura;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Tumbes Norte 518;tumbes@turismociva.com;www.civa.com.pe;072  525120;24;1;1;Tumbes;Tumbes;Tumbes;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Av. Tumbes Norte 518;tumbes@turismociva.com;www.civa.com.pe;972719246;24;1;1;Tumbes;Tumbes;Tumbes;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Jr. Union 320;chachapoyas@turismociva.com;www.civa.com.pe;041 478048;1;1;1;Amazonas;Chachapoyas;Chachapoyas;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Jr. Union 320;chachapoyas@turismociva.com;www.civa.com.pe;041 478048;1;1;1;Amazonas;Chachapoyas;Chachapoyas;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Terminal Terrestre;turismociva@civa.com.pe;www.civa.com.pe;042  562436;22;9;1;San Martín;San Martín;Tarapoto;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Terminal Terrestre;turismociva@civa.com.pe;www.civa.com.pe;042  562436;22;9;1;San Martín;San Martín;Tarapoto;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Terminal Terrestre – Counter N° C35 - 36 , Jr. 01 de Mayo N° 703, Barrio César Vallejo.;turismociva@civa.com.pe;www.civa.com.pe;940480985;21;1;1;Puno;Puno;Puno;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Terminal Terrestre – Counter N° C35 - 36 , Jr. 01 de Mayo N° 703, Barrio César Vallejo.;turismociva@civa.com.pe;www.civa.com.pe;940480985;21;1;1;Puno;Puno;Puno;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Terminal Terrestre Intersección de las Avenidas Juan Pablo Castro y Pachacutec                                                     ;;www.civa.com.pe;983727933;3;1;1;Apurímac ;Abancay;Abancay;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Terminal Terrestre Intersección de las Avenidas Juan Pablo Castro y Pachacutec                                                     ;;www.civa.com.pe;983727933;3;1;1;Apurímac ;Abancay;Abancay;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Cl. Lima 155;turismociva@civa.com.pe;www.civa.com.pe;01 4181111;11;3;1;Ica;Nasca;Nasca;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Cl. Lima 155;turismociva@civa.com.pe;www.civa.com.pe;01 4181111;11;3;1;Ica;Nasca;Nasca;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Ejército, cdras. 2 y 3 - Terminal Terrestre de Moquegua;turismociva@civa.com.pe;www.civa.com.pe;953720932;18;1;1;Moquegua;Mariscal Nieto;Moquegua;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Av. Ejército, cdras. 2 y 3 - Terminal Terrestre de Moquegua;turismociva@civa.com.pe;www.civa.com.pe;989319636;18;1;1;Moquegua;Mariscal Nieto;Moquegua;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Terminal Terrestre Odria Cabina 8;turismociva@civa.com.pe;www.civa.com.pe;052  741543;23;1;1;Tacna;Tacna;Tacna;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Terminal Terrestre Odria Cabina 8;turismociva@civa.com.pe;www.civa.com.pe;052  741543;23;1;1;Tacna;Tacna;Tacna;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Javier Prado Este 1155;  ;www.civa.com.pe;01 4181111;15;1;15;Lima;Lima;La Victoria;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Av. Javier Prado Este 1155;;www.civa.com.pe;01 4181111;15;1;15;Lima;Lima;La Victoria;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Jr. Matará 315 - A Terminal Terretres Ilo counter 13 - 14;;www.civa.com.pe;953720931;18;3;1;Moquegua;Ilo;Ilo;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Jr. Matará 315 - A Terminal Terretres Ilo counter 13 - 14;;www.civa.com.pe;976350525;18;3;1;Moquegua;Ilo;Ilo;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Cl. Gerardo Unger 6917 (Terminal Plaza Norte);;www.civa.com.pe;01 4181111;15;1;12;Lima;Lima;Independencia;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Cl. Gerardo Unger 6917 (Terminal Plaza Norte);;www.civa.com.pe;01 4181111;15;1;12;Lima;Lima;Independencia;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Jr. Simón Bolivar 491;;www.civa.com.pe;989206504;2;1;1;Áncash;Huaraz;Huaraz;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Jr. Simón Bolivar 491;;www.civa.com.pe;989206504;2;1;1;Áncash;Huaraz;Huaraz;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. San Martín de Porres 957;;www.civa.com.pe;076  68186;6;1;1;Cajamarca;Cajamarca;Cajamarca;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Av. San Martín de Porres 957;;www.civa.com.pe;976311412;6;1;1;Cajamarca;Cajamarca;Cajamarca;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Manco Cápac Nº 355, Ayacucho;;www.civa.com.pe;066 310283;5;1;1;Ayacucho;Huamanga;Ayacucho;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Manco Cápac Nº 355, Ayacucho;;www.civa.com.pe;966367161;5;1;1;Ayacucho;Huamanga;Ayacucho;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Terminal terrestre de Puerto Maldonado;;www.civa.com.pe;989599026;17;1;1;Madre de Dios;Tambopata;Tambopata;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Terminal terrestre de Puerto Maldonado;;www.civa.com.pe;989599026;17;1;1;Madre de Dios;Tambopata;Tambopata;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Manuel Mesones Muro 800; ;www.civa.com.pe;076 431443;6;8;1;Cajamarca;Jaén;Jaén;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Av. Manuel Mesones Muro 800; ;www.civa.com.pe;076 431443;6;8;1;Cajamarca;Jaén;Jaén;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Av. Lambayeque 135;contactcenter@civa.com.pe;www.civa.com.pe;01 4181111;11;1;1;Ica;Ica;Ica;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Lambayeque 135;contactcenter@civa.com.pe;www.civa.com.pe;01 4181111;11;1;1;Ica;Ica;Ica;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Paseo de la Republica 595 (Terminal 28 de julio);contactcenter@civa.com.pe;www.civa.com.pe;01 4181111;15;1;15;Lima;Lima;La Victoria;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Av. Paseo de la Republica 595 (Terminal 28 de julio);contactcenter@civa.com.pe;www.civa.com.pe;01 4181111;15;1;15;Lima;Lima;La Victoria;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Av. Panamericana sur Km. 11.30  (Terminal Atocongo); ;www.civa.com.pe;01 4181111;15;1;33;Lima;Lima;San Juan de Miraflores;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Panamericana sur Km. 11.30  (Terminal Atocongo); ;www.civa.com.pe;01 4181111;15;1;33;Lima;Lima;San Juan de Miraflores;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Grau N° 325;zorritos@civa.com.pe;www.civa.com.pe;989025028;24;2;1;Tumbes;Contralmirante Villar;Zorritos;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
Turismo Civa;2203;TRANSPORTE;220301;Terrestre;22030105;Transporte Terrestre Internacional;Av. Grau N° 325;zorritos@civa.com.pe;www.civa.com.pe;989025028;24;2;1;Tumbes;Contralmirante Villar;Zorritos;20102427891;Turismo Civa;Turismo Civa S.A.C.;22/09/2000;4/01/2025
EsSalud Hospital Nivel II Huánuco;2208;SALUD;220801;Hospitales;220801;Hospitales;Jr. Jose Olaya  201-203; ivan.barrera@essalud.gob.pe;http://portal.essalud.gob.pe/;062 591000;10;1;1;Huánuco;Huánuco;Huánuco;20131257750;EsSalud Hospital Nivel II Huánuco;Seguro Social de Salud;18/05/2001;17/01/2025
Sipán Tours;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. 7 de Enero 772 (Presencial y Digital)  ;sipantours1@hotmail.com;www.sipantours.com;944401753;14;1;1;Lambayeque;Chiclayo;Chiclayo;20479390381;Sipán Tours;Consorcio Turístico Sipán Tours S.A.C.;21/05/2001;17/01/2025
Fomentours;2205;AGENCIAS DE VIAJES Y TURISMO;220502;Agencias Minoristas;220502;Agencias Minoristas;Jr. San Martín Nº 148;fomentours@hotmail.com;;042 522257;22;9;1;San Martín;San Martín;Tarapoto;20104162135;Fomentours;Agencia de Viajes Y Turismo Fomentours S.A;24/05/2001;21/01/2025
Fomentours;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Jr. San Martín Nº 148;fomentours@hotmail.com;;042 522257;22;9;1;San Martín;San Martín;Tarapoto;20104162135;Fomentours;Agencia de Viajes Y Turismo Fomentours S.A;24/05/2001;21/01/2025
Tierras de los Andes;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Las Turquezas E-11, Urb. Kennedy A ;ventascusco@terandes.com;https://terandes.com/ ;984550165;8;1;8;Cusco;Cusco;Wanchaq;20484974200;Tierras de los Andes;Tierras de los Andes S.A.C.;28/11/2001;30/01/2025
Línea S.A;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Paseo de la República 941;    ;www.linea.pe;948318723;15;1;15;Lima;Lima;La Victoria;20438933272;Línea S.A;Transporte Línea S.A;12/12/2001;4/01/2025
Línea S.A;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Esq San Martin con Orbegoso;;www.linea.pe;0801 00015;13;1;1;La Libertad;Trujillo;Trujillo;20438933272;Línea S.A;Transporte Línea S.A;12/12/2001;4/01/2025
Línea S.A;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. América Sur Nº 2855 Terminal Sur;  ;www.linea.pe;044 297000;13;1;1;La Libertad;Trujillo;Trujillo;20438933272;Línea S.A;Transporte Línea S.A;12/12/2001;4/01/2025
Línea S.A;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Sánchez Cerro Nº 1215;  ;www.linea.pe;073 303894;20;1;1;Piura;Piura;Piura;20438933272;Línea S.A;Transporte Línea S.A;12/12/2001;4/01/2025
Línea S.A;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Francisco Bolognesi 638 ;cargachiclayo@linea.pe    contacto@embarcar.com.pe;www.linea.pe;80100015;14;1;16;Lambayeque;Chiclayo;Cayaltí;20438933272;Línea S.A;Transporte Línea S.A;12/12/2001;4/01/2025
Línea S.A;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Atahualpa 318; ;www.linea.pe;976867215;6;1;1;Cajamarca;Cajamarca;Cajamarca;20438933272;Línea S.A;Transporte Línea S.A;12/12/2001;4/01/2025
Línea S.A;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Jr. Simón Bolívar 450; ;www.linea.pe;943670478;2;1;1;Áncash;Huaraz;Huaraz;20438933272;Línea S.A;Transporte Línea S.A;12/12/2001;4/01/2025
Línea S.A;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Gerardo Unger 6917;  ;www.linea.pe;80100015;15;1;12;Lima;Lima;Independencia;20438933272;Línea S.A;Transporte Línea S.A;12/12/2001;4/01/2025
Línea S.A;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Mesones Muro N 475; ;www.linea.pe;80100015;6;8;1;Cajamarca;Jaén;Jaén;20438933272;Línea S.A;Transporte Línea S.A;12/12/2001;4/01/2025
Línea S.A;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Stand C20 Carretera Panamericana Norte, 558 Terrapuerto Trujillo;;www.linea.pe;044 297000;13;1;7;La Libertad;Trujillo;Moche;20438933272;Línea S.A;Transporte Línea S.A;12/12/2001;4/01/2025
Esmeralda;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Av. Loreto Nº 235;reservas@hotelesmeralda.com.pe ;www.hotelesmeralda.com.pe; 073 331782;20;1;1;Piura;Piura;Piura;10026259008;Esmeralda;Calle de Farfán Olga Hortelia;6/02/2002;3/01/2025
ITTSA;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Paseo de la República 809;atencionalcliente@ittsabus.com;www.ittsabus.com;01 4235232;15;1;15;Lima;Lima;La Victoria;20132272418;ITTSA;Internacional de Transporte Turístico y Servicios S.R.LTDA;16/07/2002;4/01/2025
ITTSA;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Avelino Cáceres Mz.249 Lt. 02 Zona Industrial;piura@ittsabus.com;www.ittsabus.com;073 333982;20;1;1;Piura;Piura;Piura;20132272418;ITTSA;Internacional de Transporte Turístico y Servicios S.R.LTDA;16/07/2002;4/01/2025
ITTSA;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Juan Pablo II 1110;;www.ittsabus.com;044 284644;13;1;1;La Libertad;Trujillo;Trujillo;20132272418;ITTSA;Internacional de Transporte Turístico y Servicios S.R.LTDA;16/07/2002;4/01/2025
ITTSA;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Terminal El Chimbador (módulo B34) y Jr.  Francisco Bolognesi 749 (solo venta de boleto); ;www.ittsabus.com; 044 284644;2;18;1;Áncash;Santa;Chimbote;20132272418;ITTSA;Internacional de Transporte Turístico y Servicios S.R.LTDA;16/07/2002;4/01/2025
ITTSA;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Grau 497 ;atencionweb@ittsabus.com;www.ittsabus.com; 074 233612;14;1;1;Lambayeque;Chiclayo;Chiclayo;20132272418;ITTSA;Internacional de Transporte Turístico y Servicios S.R.LTDA;16/07/2002;4/01/2025
ITTSA;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Tumbes 1321;atencionweb@ittsabus.com;www.ittsabus.com;072 458010;24;1;1;Tumbes;Tumbes;Tumbes;20132272418;ITTSA;Internacional de Transporte Turístico y Servicios S.R.LTDA;16/07/2002;4/01/2025
